Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2003-2004,EPL,Liverpool,Chris Kirkland,eng ENG,GK,22.0,6.0,6.0,540.0,6.0,7.0,1.17,22.0,15.0,68.2,2.0,3.0,1.0,1.0,16.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Liverpool,Patrice Luzi,fr FRA,GK,23.0,1.0,0.0,13.0,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Liverpool,Squad Total,,,26.0,38.0,38.0,3240.0,,35.0,0.97,139.0,104.0,74.8,16.0,12.0,10.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Liverpool,Opponent Total,,,27.3,38.0,38.0,,,,,,,,10.0,12.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Newcastle Utd,Shay Given,ie IRL,GK,27.0,38.0,38.0,3420.0,38.0,40.0,1.05,171.0,131.0,76.6,13.0,17.0,8.0,11.0,28.9,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Newcastle Utd,Squad Total,,,25.7,38.0,38.0,3420.0,,40.0,1.05,171.0,131.0,76.6,13.0,17.0,8.0,11.0,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Newcastle Utd,Opponent Total,,,27.5,38.0,38.0,,,,,,,,8.0,17.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Aston Villa,Thomas Sørensen,dk DEN,GK,27.0,38.0,38.0,3336.0,37.1,42.0,1.13,166.0,124.0,74.7,14.0,10.0,12.0,12.0,31.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Aston Villa,Stefan Postma,nl NED,GK,26.0,2.0,0.0,84.0,0.9,2.0,2.14,7.0,5.0,71.4,1.0,1.0,0.0,0.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-2004,EPL,Aston Villa,Squad Total,,,25.7,38.0,38.0,3420.0,,44.0,1.16,173.0,129.0,74.6,15.0,11.0,12.0,12.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
