Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,EPL,Crystal Palace,Luka Milivojević,rs SRB,MF,30.0,8.6,400.0,493.0,81.1,7100.0,2097.0,182.0,202.0,90.1,157.0,185.0,84.9,46.0,79.0,58.2,0.0,0.7,1.0,-0.7,11.0,36.0,6.0,3.0,37.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,Jack Butland,eng ENG,GK,28.0,8.5,214.0,287.0,74.6,4835.0,2860.0,61.0,61.0,100.0,108.0,108.0,100.0,40.0,113.0,35.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,Eberechi Eze,eng ENG,"MF,FW",23.0,6.7,234.0,304.0,77.0,3880.0,972.0,124.0,145.0,85.5,82.0,101.0,81.2,25.0,41.0,61.0,1.0,0.9,0.8,0.1,11.0,22.0,7.0,2.0,33.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,James Tomkins,eng ENG,DF,32.0,6.1,277.0,320.0,86.6,6021.0,1857.0,58.0,68.0,85.3,177.0,188.0,94.1,40.0,61.0,65.6,0.0,0.2,0.1,-0.2,2.0,5.0,0.0,0.0,8.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,Jaïro Riedewald,nl NED,MF,24.0,1.3,47.0,56.0,83.9,795.0,204.0,27.0,31.0,87.1,16.0,16.0,100.0,4.0,7.0,57.1,0.0,0.1,0.0,-0.1,2.0,4.0,0.0,0.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,Jesuran Rak Sakyi,eng ENG,"FW,MF",18.0,0.9,22.0,26.0,84.6,246.0,32.0,17.0,17.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,Nathan Ferguson,eng ENG,DF,20.0,0.1,3.0,5.0,60.0,29.0,30.0,3.0,3.0,100.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,Squad Total,,,27.1,38.0,14983.0,19081.0,78.5,265538.0,92523.0,6553.0,7495.0,87.4,6521.0,7610.0,85.7,1467.0,2871.0,51.1,31.0,31.0,30.2,0.0,305.0,990.0,270.0,75.0,1229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Crystal Palace,Opponent Total,,,26.8,38.0,14264.0,18471.0,77.2,250760.0,90242.0,6523.0,7559.0,86.3,5776.0,6884.0,83.9,1503.0,2862.0,52.5,30.0,28.3,29.8,1.7,304.0,1193.0,287.0,74.0,1402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,EPL,Brentford,Pontus Jansson,se SWE,DF,30.0,36.9,1218.0,1507.0,80.8,22414.0,7103.0,421.0,498.0,84.5,703.0,821.0,85.6,77.0,145.0,53.1,1.0,0.3,0.6,0.7,5.0,35.0,0.0,0.0,67.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
