Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2021-2022,SeriaA,Genoa,Mattia Destro,it ITA,FW,30.0,19.4,196.0,340.0,57.6,2598.0,672.0,123.0,189.0,65.1,53.0,95.0,55.8,8.0,16.0,50.0,1.0,1.1,0.4,-0.1,11.0,25.0,6.0,1.0,26.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Caleb Ekuban,gh GHA,"FW,MF",27.0,19.1,297.0,431.0,68.9,3795.0,826.0,197.0,258.0,76.4,71.0,97.0,73.2,11.0,17.0,64.7,2.0,2.4,1.9,-0.4,16.0,16.0,10.0,1.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Domenico Criscito,it ITA,DF,34.0,18.0,774.0,1008.0,76.8,13602.0,5375.0,342.0,378.0,90.5,350.0,427.0,82.0,67.0,161.0,41.6,1.0,1.1,1.2,-0.1,9.0,61.0,13.0,8.0,70.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Manolo Portanova,it ITA,"FW,MF",21.0,14.7,181.0,323.0,56.0,2559.0,862.0,106.0,145.0,73.1,47.0,96.0,49.0,14.0,47.0,29.8,0.0,0.6,0.6,-0.6,9.0,14.0,7.0,0.0,28.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Nicolò Rovella,it ITA,MF,19.0,16.3,762.0,977.0,78.0,14063.0,3760.0,344.0,373.0,92.2,269.0,327.0,82.3,121.0,226.0,53.5,3.0,2.3,2.5,0.7,30.0,64.0,8.0,1.0,84.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Silvan Hefti,ch SUI,DF,23.0,14.3,393.0,551.0,71.3,5940.0,2670.0,212.0,251.0,84.5,133.0,190.0,70.0,25.0,60.0,41.7,0.0,0.7,1.4,-0.7,10.0,27.0,16.0,9.0,39.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Mattia Bani,it ITA,DF,27.0,13.5,333.0,469.0,71.0,6336.0,2698.0,123.0,151.0,81.5,166.0,201.0,82.6,36.0,96.0,37.5,0.0,0.1,0.1,-0.1,3.0,16.0,0.0,0.0,24.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Leo Skiri Østigård,no NOR,DF,21.0,13.0,392.0,556.0,70.5,7513.0,3419.0,152.0,185.0,82.2,192.0,257.0,74.7,43.0,99.0,43.4,0.0,0.2,0.6,-0.2,2.0,36.0,1.0,0.0,38.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Nikola Maksimović,rs SRB,DF,29.0,12.4,421.0,508.0,82.9,8193.0,3305.0,145.0,165.0,87.9,221.0,244.0,90.6,52.0,88.0,59.1,0.0,0.1,0.1,-0.1,2.0,37.0,1.0,1.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,SeriaA,Genoa,Pablo Galdames Millán,cl CHI,MF,24.0,11.4,324.0,443.0,73.1,5772.0,2027.0,142.0,172.0,82.6,130.0,168.0,77.4,41.0,74.0,55.4,0.0,1.0,1.5,-1.0,13.0,26.0,9.0,3.0,45.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
