Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2008-2009,Ligue1,Lyon,Rémy Vercoutre,fr FRA,GK,28.0,3.0,3.0,270.0,3.0,2.0,0.67,11.0,9.0,81.8,1.0,1.0,1.0,2.0,66.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Lyon,Squad Total,,,26.0,38.0,38.0,3420.0,,29.0,0.76,123.0,94.0,76.4,20.0,11.0,7.0,18.0,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Lyon,Opponent Total,,,26.3,38.0,38.0,,,,,,,,7.0,11.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Toulouse,Cédric Carrasso,fr FRA,GK,26.0,37.0,37.0,3330.0,37.0,26.0,0.7,125.0,99.0,79.2,15.0,16.0,6.0,19.0,51.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Toulouse,Olivier Blondel,fr FRA,GK,29.0,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Toulouse,Squad Total,,,24.2,38.0,38.0,3420.0,,27.0,0.71,128.0,101.0,78.9,16.0,16.0,6.0,19.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Toulouse,Opponent Total,,,26.4,38.0,38.0,,,,,,,,6.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Lille,Grégory Malicki,fr FRA,GK,34.0,34.0,34.0,3060.0,34.0,36.0,1.06,128.0,92.0,71.9,15.0,11.0,8.0,13.0,38.2,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Lille,Ludovic Butelle,fr FRA,GK,25.0,4.0,4.0,360.0,4.0,3.0,0.75,14.0,11.0,78.6,2.0,2.0,0.0,2.0,50.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Lille,Squad Total,,,25.3,38.0,38.0,3420.0,,39.0,1.03,142.0,103.0,72.5,17.0,13.0,8.0,15.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,Ligue1,Lille,Opponent Total,,,26.6,38.0,38.0,,,,,,,,8.0,13.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
