Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2021-2022,Bundesliga,Freiburg,Robert Wagner,de GER,MF,18.0,,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,Matches,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Squad Total,,,26.5,,3060.0,90.0,100.0,34.0,374.0,83.0,219.0,157.0,17.0,145.0,1.62,58.0,46.0,12.0,0.35,,50.4,44.0,6.4,0.19,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Freiburg,Opponent Total,,,26.2,,3060.0,90.0,100.0,34.0,374.0,83.0,219.0,157.0,17.0,151.0,1.09,46.0,58.0,-12.0,-0.35,,44.0,50.4,-6.4,-0.19,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Anthony Modeste,fr FRA,FW,33.0,,2606.0,81.0,85.2,29.0,31.0,83.0,18.0,1.0,30.0,0.0,1.63,46.0,41.0,5.0,0.17,0.57,44.8,43.3,1.6,0.05,0.47,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Florian Kainz,at AUT,"MF,FW",28.0,,2320.0,73.0,75.8,25.8,31.0,74.0,2.0,1.0,32.0,0.0,1.56,33.0,36.0,-3.0,-0.12,-0.85,35.2,38.4,-3.1,-0.12,-0.43,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Jonas Hector,de GER,DF,31.0,,2553.0,85.0,83.4,28.4,30.0,85.0,27.0,0.0,,0.0,1.67,43.0,38.0,5.0,0.18,0.53,42.1,39.7,2.5,0.09,0.63,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Benno Schmitz,de GER,DF,26.0,,2421.0,78.0,79.1,26.9,29.0,82.0,16.0,2.0,19.0,1.0,1.58,39.0,41.0,-2.0,-0.07,-0.78,39.5,37.6,1.9,0.07,0.42,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Salih Özcan,tr TUR,MF,23.0,,2312.0,75.0,75.6,25.7,26.0,86.0,23.0,5.0,13.0,2.0,1.55,36.0,36.0,0.0,0.0,-0.36,35.7,38.1,-2.3,-0.09,-0.3,Matches,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Luca Kilian,de GER,DF,21.0,,2281.0,76.0,74.5,25.3,25.0,87.0,21.0,5.0,22.0,2.0,1.5,39.0,34.0,5.0,0.2,0.43,34.3,35.8,-1.5,-0.06,-0.16,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Mark Uth,de GER,"MF,FW",29.0,,2025.0,68.0,66.2,22.5,24.0,79.0,3.0,6.0,22.0,0.0,1.5,41.0,32.0,9.0,0.4,0.92,35.7,33.4,2.2,0.1,0.34,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Dejan Ljubicic,at AUT,"MF,FW",23.0,,1969.0,66.0,64.3,21.9,22.0,79.0,8.0,8.0,28.0,0.0,1.5,37.0,27.0,10.0,0.46,1.03,33.0,30.9,2.1,0.09,0.31,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Marvin Schwäbe,de GER,GK,26.0,,1890.0,90.0,61.8,21.0,21.0,90.0,21.0,0.0,,10.0,1.62,33.0,28.0,5.0,0.24,0.39,28.8,31.5,-2.8,-0.13,-0.3,Matches,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,Bundesliga,Köln,Ellyes Skhiri,tn TUN,MF,26.0,,1820.0,83.0,59.5,20.2,20.0,88.0,18.0,2.0,27.0,0.0,1.64,33.0,25.0,8.0,0.4,0.76,29.2,29.4,-0.1,-0.01,0.02,Matches,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
