Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2010-2011,Bundesliga,Hannover 96,Ron-Robert Zieler,de GER,GK,21.0,15.0,15.0,1311.0,14.6,11.0,0.76,57.0,46.0,80.7,8.0,2.0,5.0,6.0,40.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hannover 96,Squad Total,,,25.6,34.0,34.0,3060.0,,45.0,1.32,151.0,106.0,70.2,19.0,3.0,12.0,10.0,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Hannover 96,Opponent Total,,,25.6,34.0,34.0,,,,,,,,12.0,3.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Mainz 05,Christian Wetklo,de GER,GK,30.0,24.0,24.0,2094.0,23.3,20.0,0.86,103.0,83.0,80.6,13.0,3.0,7.0,8.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Mainz 05,Heinz Müller,de GER,GK,32.0,10.0,10.0,900.0,10.0,17.0,1.7,55.0,38.0,69.1,4.0,1.0,5.0,1.0,10.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Mainz 05,Martin Pieckenhagen,de GER,GK,38.0,1.0,0.0,66.0,0.7,2.0,2.73,3.0,1.0,33.3,1.0,0.0,0.0,0.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Mainz 05,Squad Total,,,26.1,34.0,34.0,3060.0,,39.0,1.15,161.0,122.0,75.8,18.0,4.0,12.0,9.0,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Mainz 05,Opponent Total,,,25.7,34.0,34.0,,,,,,,,12.0,4.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Nürnberg,Raphael Schäfer,de GER,GK,31.0,34.0,34.0,3028.0,33.6,44.0,1.31,129.0,85.0,65.9,12.0,8.0,13.0,7.0,20.6,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Nürnberg,Alexander Stephan,de GER,GK,23.0,1.0,0.0,32.0,0.4,1.0,2.81,2.0,1.0,50.0,1.0,0.0,0.0,0.0,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Nürnberg,Squad Total,,,25.2,34.0,34.0,3060.0,,45.0,1.32,131.0,86.0,65.6,13.0,8.0,13.0,7.0,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Nürnberg,Opponent Total,,,25.9,34.0,34.0,,,,,,,,13.0,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Kaiserslautern,Tobias Sippel,de GER,GK,22.0,25.0,25.0,2250.0,25.0,42.0,1.68,134.0,92.0,68.7,6.0,7.0,12.0,5.0,20.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Kaiserslautern,Kevin Trapp,de GER,GK,20.0,9.0,9.0,810.0,9.0,9.0,1.0,39.0,30.0,76.9,7.0,0.0,2.0,3.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
