Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Unnamed: 21_level_0_xA,Unnamed: 22_level_0_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,S_h,S_h.1,S_h.2,M_e,M_e.1,M_e.2,L_o,L_o.1,L_o.2,U_n.5,U_n.6,E_x,E_x.1,U_n.7,U_n.8,U_n.9,U_n.10,U_n.11,U_n.12,Expected_xA,Expected_A-xAG
2019-2020,SeriaA,Napoli,Arkadiusz Milik,pl POL,FW,25.0,19.4,384.0,469.0,81.9,4848.0,637.0,241.0,275.0,87.6,106.0,121.0,87.6,8.0,14.0,57.1,0.0,1.5,1.4,-1.5,21.0,21.0,8.0,0.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Dries Mertens,be BEL,FW,32.0,18.8,540.0,721.0,74.9,8101.0,1958.0,312.0,351.0,88.9,141.0,195.0,72.3,49.0,91.0,53.8,7.0,5.7,5.4,1.3,53.0,44.0,33.0,7.0,79.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Elseid Hysaj,al ALB,DF,25.0,16.5,1074.0,1291.0,83.2,15519.0,5309.0,657.0,715.0,91.9,323.0,403.0,80.1,57.0,96.0,59.4,2.0,1.3,1.1,0.7,21.0,80.0,20.0,6.0,115.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,David Ospina,co COL,GK,30.0,16.3,409.0,469.0,87.2,8858.0,6193.0,139.0,140.0,99.3,183.0,184.0,99.5,84.0,141.0,59.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Allan,br BRA,MF,28.0,14.2,726.0,842.0,86.2,11883.0,3216.0,367.0,401.0,91.5,272.0,299.0,91.0,65.0,85.0,76.5,1.0,1.1,0.8,-0.1,15.0,74.0,10.0,2.0,82.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Elif Elmas,mk MKD,MF,19.0,12.6,612.0,676.0,90.5,7678.0,1351.0,404.0,434.0,93.1,144.0,152.0,94.7,17.0,27.0,63.0,1.0,1.0,0.5,0.0,15.0,35.0,6.0,0.0,46.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Hirving Lozano,mx MEX,"FW,MF",24.0,11.4,247.0,343.0,72.0,2959.0,510.0,162.0,188.0,86.2,53.0,80.0,66.3,6.0,17.0,35.3,1.0,2.0,1.0,-1.0,20.0,5.0,12.0,1.0,23.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Diego Demme,de GER,MF,27.0,10.0,717.0,781.0,91.8,11927.0,2550.0,331.0,359.0,92.2,298.0,312.0,95.5,59.0,65.0,90.8,0.0,0.4,0.5,-0.4,9.0,86.0,9.0,0.0,76.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Stanislav Lobotka,sk SVK,MF,24.0,8.4,605.0,639.0,94.7,9488.0,2554.0,342.0,362.0,94.5,189.0,197.0,95.9,52.0,52.0,100.0,0.0,0.2,0.4,-0.2,6.0,56.0,2.0,0.0,42.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Matteo Politano,it ITA,FW,25.0,8.3,281.0,366.0,76.8,3772.0,807.0,176.0,196.0,89.8,73.0,94.0,77.7,12.0,36.0,33.3,2.0,1.5,1.3,0.5,19.0,15.0,14.0,0.0,30.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Sebastiano Luperto,it ITA,DF,22.0,5.9,340.0,382.0,89.0,5636.0,2031.0,143.0,149.0,96.0,171.0,189.0,90.5,15.0,28.0,53.6,0.0,0.1,0.1,-0.1,2.0,24.0,2.0,1.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Fernando Llorente,es ESP,FW,34.0,5.6,124.0,154.0,80.5,1504.0,143.0,70.0,80.0,87.5,28.0,38.0,73.7,6.0,7.0,85.7,1.0,0.8,0.5,0.2,10.0,4.0,3.0,0.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Faouzi Ghoulam,dz ALG,DF,28.0,4.2,238.0,300.0,79.3,3515.0,1029.0,137.0,146.0,93.8,72.0,95.0,75.8,18.0,42.0,42.9,1.0,1.3,0.6,-0.3,8.0,7.0,5.0,2.0,11.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Kévin Malcuit,ma MAR,DF,28.0,2.8,138.0,172.0,80.2,2125.0,405.0,82.0,90.0,91.1,40.0,53.0,75.5,12.0,21.0,57.1,0.0,0.3,0.2,-0.3,2.0,4.0,2.0,1.0,7.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Amin Younes,de GER,"FW,MF",25.0,2.0,91.0,112.0,81.3,1019.0,254.0,61.0,67.0,91.0,21.0,28.0,75.0,0.0,2.0,0.0,0.0,0.6,0.3,-0.6,5.0,6.0,3.0,0.0,12.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Squad Total,,,26.9,38.0,21173.0,24596.0,86.1,336874.0,107510.0,11037.0,11917.0,92.6,7649.0,8622.0,88.7,1658.0,2522.0,65.7,45.0,46.8,40.7,-1.8,543.0,1566.0,414.0,86.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Napoli,Opponent Total,,,27.0,38.0,13614.0,16890.0,80.6,235950.0,85882.0,6217.0,6934.0,89.7,5568.0,6413.0,86.8,1378.0,2492.0,55.3,33.0,31.0,25.3,2.0,314.0,825.0,224.0,74.0,1156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Sassuolo,Francesco Caputo,it ITA,FW,31.0,32.6,622.0,795.0,78.2,7816.0,972.0,413.0,501.0,82.4,141.0,176.0,80.1,18.0,24.0,75.0,7.0,5.7,2.9,1.3,53.0,20.0,21.0,2.0,48.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
