Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2018-2019,LaLiga,Leganés,Dimitris Siovas,gr GRE,DF,29.0,32.9,1.0,21.0,3.0,14.3,0.64,0.09,0.05,0.33,14.5,0.0,0.0,,0.0,1.9,1.9,0.09,-0.9,-0.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Jonathan Silva,ar ARG,"DF,FW",24.0,30.0,3.0,23.0,8.0,34.8,0.77,0.27,0.13,0.38,18.2,0.0,0.0,,0.0,1.6,1.6,0.07,1.4,1.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Óscar Rodríguez Arnaiz,es ESP,MF,20.0,27.8,4.0,61.0,22.0,36.1,2.19,0.79,0.07,0.18,24.0,0.0,0.0,,11.0,4.0,4.0,0.06,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Rubén Pérez,es ESP,MF,29.0,27.5,0.0,11.0,3.0,27.3,0.4,0.11,0.0,0.0,27.0,0.0,0.0,,0.0,0.3,0.3,0.03,-0.3,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Kenneth Omeruo,ng NGA,DF,24.0,27.0,0.0,3.0,1.0,33.3,0.11,0.04,0.0,0.0,16.5,0.0,0.0,,0.0,0.2,0.2,0.06,-0.2,-0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Unai Bustinza,es ESP,DF,26.0,22.5,0.0,6.0,1.0,16.7,0.27,0.04,0.0,0.0,18.6,0.0,0.0,,0.0,0.3,0.3,0.04,-0.3,-0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Mikel Vesga,es ESP,MF,25.0,23.0,1.0,13.0,3.0,23.1,0.57,0.13,0.08,0.33,17.2,0.0,0.0,,0.0,0.8,0.8,0.06,0.2,0.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Guido Carrillo,ar ARG,FW,27.0,22.1,6.0,56.0,18.0,32.1,2.53,0.81,0.09,0.28,12.1,1.0,3.0,,0.0,9.1,6.7,0.12,-3.1,-1.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Youssef En-Nesyri,ma MAR,FW,21.0,23.4,9.0,74.0,24.0,32.4,3.16,1.03,0.12,0.38,15.1,0.0,0.0,,0.0,7.1,7.1,0.1,1.9,1.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,LaLiga,Leganés,Allan Nyom,cm CMR,"DF,FW",30.0,19.0,1.0,5.0,3.0,60.0,0.26,0.16,0.2,0.33,19.3,0.0,0.0,,0.0,0.3,0.3,0.05,0.7,0.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,
