Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,Bundesliga,Bayern Munich,Leon Goretzka,de GER,MF,24.0,16.8,1102.0,17.0,164.0,652.0,292.0,45.0,1102.0,25.0,19.0,76.0,6.0,24.0,682.0,3363.0,1733.0,29.0,32.0,4.0,18.0,19.0,790.0,63.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"FW,MF",23.0,16.7,998.0,1.0,74.0,330.0,609.0,117.0,998.0,97.0,58.0,59.8,39.0,40.2,750.0,5160.0,2824.0,113.0,46.0,49.0,47.0,36.0,817.0,329.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Philippe Coutinho,br BRA,"MF,FW",27.0,15.7,1041.0,1.0,53.0,501.0,499.0,72.0,1040.0,56.0,33.0,58.9,23.0,41.1,689.0,3882.0,2153.0,57.0,41.0,16.0,32.0,19.0,834.0,128.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Ivan Perišić,hr CRO,"FW,MF",30.0,13.4,779.0,14.0,72.0,281.0,430.0,106.0,779.0,20.0,12.0,60.0,8.0,40.0,446.0,2450.0,1289.0,55.0,17.0,22.0,27.0,14.0,572.0,191.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Lucas Hernández,fr FRA,DF,23.0,10.2,907.0,37.0,324.0,490.0,96.0,10.0,907.0,10.0,8.0,80.0,2.0,20.0,587.0,2881.0,1682.0,17.0,14.0,1.0,5.0,8.0,676.0,26.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Niklas Süle,de GER,DF,23.0,7.1,677.0,68.0,350.0,309.0,21.0,5.0,677.0,2.0,2.0,100.0,0.0,0.0,448.0,2011.0,1152.0,5.0,5.0,0.0,2.0,0.0,542.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Corentin Tolisso,fr FRA,MF,24.0,7.1,630.0,11.0,94.0,386.0,153.0,26.0,630.0,11.0,7.0,63.6,4.0,36.4,405.0,1831.0,841.0,13.0,11.0,2.0,8.0,13.0,500.0,41.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Javi Martínez,es ESP,"DF,MF",30.0,7.5,689.0,54.0,283.0,382.0,27.0,4.0,689.0,2.0,2.0,100.0,0.0,0.0,397.0,2117.0,1237.0,5.0,5.0,0.0,2.0,0.0,483.0,5.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Mickaël Cuisance,fr FRA,"MF,FW",19.0,3.4,230.0,3.0,28.0,104.0,103.0,7.0,230.0,17.0,12.0,70.6,5.0,29.4,158.0,900.0,526.0,8.0,12.0,0.0,7.0,3.0,181.0,15.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,Bundesliga,Bayern Munich,Joshua Zirkzee,nl NED,FW,18.0,3.3,122.0,1.0,3.0,48.0,72.0,21.0,122.0,4.0,1.0,25.0,3.0,75.0,65.0,258.0,74.0,1.0,2.0,1.0,9.0,4.0,80.0,26.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
