Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2005-2006,LaLiga,Valencia,Juan Luis Mora,es ESP,GK,32.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Valencia,Squad Total,,,27.0,38.0,38.0,3420.0,,33.0,0.87,164.0,131.0,79.9,19.0,12.0,7.0,16.0,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Valencia,Opponent Total,,,26.4,38.0,38.0,,,,,,,,7.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Osasuna,Ricardo,es ESP,GK,33.0,30.0,30.0,2700.0,30.0,35.0,1.17,139.0,104.0,74.8,16.0,4.0,10.0,9.0,30.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Osasuna,Juan Elía,es ESP,GK,26.0,8.0,8.0,720.0,8.0,8.0,1.0,30.0,22.0,73.3,5.0,1.0,2.0,2.0,25.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Osasuna,Squad Total,,,26.3,38.0,38.0,3420.0,,43.0,1.13,169.0,126.0,74.6,21.0,5.0,12.0,16.0,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Osasuna,Opponent Total,,,26.4,38.0,38.0,,,,,,,,12.0,5.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Sevilla,Andrés Palop,es ESP,GK,31.0,36.0,36.0,3240.0,36.0,37.0,1.03,155.0,118.0,76.1,19.0,7.0,10.0,16.0,44.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Sevilla,Antonio Notario,es ESP,GK,32.0,2.0,2.0,180.0,2.0,2.0,1.0,10.0,8.0,80.0,1.0,1.0,0.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Sevilla,Squad Total,,,26.3,38.0,38.0,3420.0,,39.0,1.03,165.0,126.0,76.4,20.0,8.0,10.0,11.0,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Sevilla,Opponent Total,,,26.4,38.0,38.0,,,,,,,,10.0,8.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Celta Vigo,José Manuel Pinto,es ESP,GK,29.0,37.0,37.0,3262.0,36.2,28.0,0.77,143.0,115.0,80.4,20.0,4.0,12.0,14.0,37.8,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Celta Vigo,Esteban,es ESP,GK,30.0,2.0,1.0,159.0,1.8,5.0,2.83,13.0,8.0,61.5,0.0,0.0,2.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Celta Vigo,Squad Total,,,25.4,38.0,38.0,3421.0,,33.0,0.87,156.0,123.0,78.8,20.0,4.0,14.0,14.0,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Celta Vigo,Opponent Total,,,26.7,38.0,38.0,,,,,,,,14.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Villarreal,Sebastián Viera,uy URU,GK,22.0,29.0,29.0,2549.0,28.3,30.0,1.06,144.0,114.0,79.2,11.0,10.0,7.0,6.0,20.7,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Villarreal,Mariano Barbosa,ar ARG,GK,21.0,10.0,9.0,871.0,9.7,9.0,0.93,44.0,35.0,79.5,3.0,5.0,2.0,3.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Villarreal,Squad Total,,,26.8,38.0,38.0,3420.0,,39.0,1.03,188.0,149.0,79.3,14.0,15.0,9.0,9.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Villarreal,Opponent Total,,,26.4,38.0,38.0,,,,,,,,9.0,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,La Coruña,José Molina,es ESP,GK,34.0,38.0,38.0,3420.0,38.0,45.0,1.18,194.0,149.0,76.8,15.0,10.0,13.0,10.0,26.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,La Coruña,Squad Total,,,28.4,38.0,38.0,3420.0,,45.0,1.18,194.0,149.0,76.8,15.0,10.0,13.0,10.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,La Coruña,Opponent Total,,,26.3,38.0,38.0,,,,,,,,13.0,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Getafe,Luis García,es ESP,GK,26.0,25.0,25.0,2250.0,25.0,33.0,1.32,152.0,119.0,78.3,12.0,6.0,8.0,5.0,20.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Getafe,Juan Calatayud,es ESP,GK,25.0,13.0,13.0,1170.0,13.0,16.0,1.23,67.0,51.0,76.1,3.0,3.0,6.0,2.0,15.4,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Getafe,Squad Total,,,27.0,38.0,38.0,3420.0,,49.0,1.29,219.0,170.0,77.6,15.0,9.0,14.0,7.0,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Getafe,Opponent Total,,,26.4,38.0,38.0,,,,,,,,14.0,9.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Atlético Madrid,Leo Franco,ar ARG,GK,28.0,34.0,33.0,2933.0,32.6,33.0,1.01,151.0,118.0,78.1,13.0,11.0,10.0,11.0,33.3,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Atlético Madrid,Ismael Falcón,es ESP,GK,20.0,5.0,4.0,413.0,4.6,4.0,0.87,22.0,18.0,81.8,0.0,2.0,2.0,1.0,25.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Atlético Madrid,Roberto,es ESP,GK,19.0,1.0,1.0,90.0,1.0,2.0,2.0,,,,0.0,0.0,1.0,0.0,0.0,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Atlético Madrid,Squad Total,,,25.1,38.0,38.0,3436.0,,39.0,1.02,173.0,136.0,77.5,13.0,13.0,12.0,12.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2006,LaLiga,Atlético Madrid,Opponent Total,,,26.5,38.0,38.0,,,,,,,,12.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
