Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2016-2017,SeriaA,Napoli,Squad Total,,,26.9,38.0,418.0,3420.0,38.0,94.0,68.0,162.0,89.0,5.0,6.0,0.0,0.0,,,,2.47,1.79,4.26,2.34,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Napoli,Opponent Total,,,26.9,38.0,418.0,3420.0,38.0,38.0,24.0,62.0,35.0,3.0,4.0,93.0,7.0,,,,1.0,0.63,1.63,0.92,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Papu Gómez,ar ARG,"FW,MF",28.0,37.0,37.0,3119.0,34.7,16.0,10.0,26.0,14.0,2.0,2.0,6.0,0.0,,,,0.46,0.29,0.75,0.4,0.69,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Jasmin Kurtić,si SVN,"MF,FW",27.0,37.0,35.0,2739.0,30.4,6.0,3.0,9.0,6.0,0.0,0.0,7.0,0.0,,,,0.2,0.1,0.3,0.2,0.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Andrea Masiello,it ITA,DF,30.0,35.0,34.0,2926.0,32.5,3.0,1.0,4.0,3.0,0.0,0.0,9.0,0.0,,,,0.09,0.03,0.12,0.09,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Rafael Tolói,it ITA,DF,25.0,32.0,31.0,2719.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Andrea Conti,it ITA,MF,22.0,33.0,31.0,2663.0,29.6,8.0,5.0,13.0,8.0,0.0,0.0,12.0,0.0,,,,0.27,0.17,0.44,0.27,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Andrea Petagna,it ITA,FW,21.0,34.0,31.0,2614.0,29.0,5.0,7.0,12.0,5.0,0.0,0.0,2.0,0.0,,,,0.17,0.24,0.41,0.17,0.41,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Mattia Caldara,it ITA,DF,22.0,30.0,30.0,2655.0,29.5,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,,,,0.24,0.0,0.24,0.24,0.24,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,SeriaA,Atalanta,Remo Freuler,ch SUI,MF,24.0,33.0,29.0,2611.0,29.0,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,,,,0.17,0.14,0.31,0.17,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
