Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2017-2018,EPL,Leicester City,Squad Total,,,27.2,38.0,60.0,2.0,3.0,11.0,2.0,50.5,0.29,-7.5,-0.2,338.0,875.0,38.6,973.0,134.0,60.4,43.5,307.0,93.5,63.3,563.0,28.0,5.0,66.0,1.74,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Leicester City,Opponent Total,,,26.8,38.0,56.0,5.0,1.0,8.0,3.0,47.0,0.29,-6.0,-0.16,235.0,665.0,35.3,838.0,141.0,53.1,41.5,275.0,80.0,55.7,568.0,45.0,7.9,47.0,1.24,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Newcastle Utd,Rob Elliot,ie IRL,GK,31.0,16.0,21.0,1.0,0.0,3.0,1.0,18.8,0.27,-1.2,-0.07,154.0,371.0,41.5,378.0,46.0,63.5,44.1,159.0,82.4,55.8,258.0,15.0,5.8,15.0,0.94,13.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,28.0,12.0,11.0,0.0,0.0,0.0,0.0,14.2,0.36,3.2,0.26,61.0,198.0,30.8,255.0,32.0,48.2,38.5,93.0,80.6,56.0,184.0,13.0,7.1,13.0,1.08,12.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Newcastle Utd,Karl Darlow,eng ENG,GK,26.0,10.0,15.0,3.0,0.0,0.0,2.0,15.8,0.28,2.8,0.28,78.0,232.0,33.6,247.0,37.0,62.3,43.2,87.0,89.7,57.9,159.0,11.0,6.9,4.0,0.4,11.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Newcastle Utd,Squad Total,,,25.6,38.0,47.0,4.0,0.0,3.0,3.0,48.8,0.3,4.8,0.13,293.0,801.0,36.6,880.0,115.0,58.8,42.2,339.0,83.8,56.4,601.0,39.0,6.5,32.0,0.84,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Newcastle Utd,Opponent Total,,,26.9,38.0,39.0,0.0,1.0,8.0,1.0,42.8,0.29,4.8,0.13,284.0,708.0,40.1,976.0,175.0,49.2,39.5,287.0,79.4,56.0,479.0,24.0,5.0,51.0,1.34,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Crystal Palace,Wayne Hennessey,wls WAL,GK,30.0,27.0,41.0,1.0,1.0,7.0,2.0,38.2,0.3,-0.8,-0.03,226.0,587.0,38.5,554.0,92.0,68.2,47.3,227.0,92.1,65.2,435.0,31.0,7.1,22.0,0.81,13.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Crystal Palace,Julián Speroni,ar ARG,GK,38.0,11.0,14.0,1.0,0.0,4.0,0.0,13.3,0.29,-0.7,-0.07,86.0,239.0,36.0,223.0,18.0,69.1,45.2,89.0,95.5,56.9,177.0,6.0,3.4,10.0,0.91,13.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Crystal Palace,Squad Total,,,27.1,38.0,55.0,2.0,1.0,11.0,2.0,51.5,0.3,-1.5,-0.04,312.0,826.0,37.8,777.0,110.0,68.5,46.7,316.0,93.0,62.8,612.0,37.0,6.0,32.0,0.84,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Crystal Palace,Opponent Total,,,27.0,38.0,45.0,8.0,1.0,7.0,1.0,48.6,0.29,4.6,0.12,274.0,632.0,43.4,790.0,138.0,50.4,40.8,328.0,71.3,54.4,533.0,25.0,4.7,31.0,0.82,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Bournemouth,Asmir Begović,ba BIH,GK,30.0,38.0,61.0,2.0,2.0,7.0,1.0,54.8,0.31,-5.2,-0.14,223.0,647.0,34.5,832.0,215.0,45.7,38.9,328.0,81.4,55.5,611.0,35.0,5.7,18.0,0.47,10.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Bournemouth,Squad Total,,,26.9,38.0,61.0,2.0,2.0,7.0,1.0,54.8,0.31,-5.2,-0.14,223.0,647.0,34.5,832.0,215.0,45.7,38.9,328.0,81.4,55.5,611.0,35.0,5.7,18.0,0.47,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,EPL,Bournemouth,Opponent Total,,,26.9,38.0,45.0,3.0,1.0,10.0,0.0,40.5,0.25,-4.5,-0.12,320.0,830.0,38.6,968.0,108.0,61.8,44.5,273.0,85.0,57.7,545.0,24.0,4.4,29.0,0.76,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
