Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2021-2022,LaLiga,Real Madrid,Latasa,es ESP,FW,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Squad Total,,,27.7,38.0,76.0,0.0,0.0,394.0,474.0,106.0,611.0,334.0,345.0,10.0,5.0,0.0,,1941.0,397.0,319.0,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Real Madrid,Opponent Total,,,27.6,38.0,82.0,3.0,1.0,501.0,370.0,30.0,670.0,342.0,346.0,5.0,12.0,0.0,,1742.0,319.0,397.0,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,33.0,35.5,12.0,0.0,0.0,53.0,67.0,2.0,3.0,45.0,49.0,0.0,0.0,0.0,,281.0,57.0,68.0,45.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,29.0,35.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,51.0,5.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Jordi Alba,es ESP,DF,32.0,29.4,11.0,0.0,0.0,26.0,19.0,11.0,121.0,33.0,34.0,0.0,0.0,0.0,,214.0,13.0,23.0,36.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Frenkie de Jong,nl NED,MF,24.0,27.5,7.0,1.0,1.0,24.0,35.0,6.0,31.0,20.0,19.0,0.0,0.0,0.0,,154.0,25.0,15.0,62.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Gavi,es ESP,"MF,FW",16.0,25.7,11.0,1.0,1.0,63.0,69.0,12.0,48.0,25.0,18.0,1.0,0.0,0.0,,122.0,32.0,35.0,47.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Ronald Araújo,uy URU,DF,22.0,25.2,6.0,0.0,0.0,25.0,12.0,1.0,7.0,23.0,23.0,0.0,0.0,0.0,,135.0,60.0,24.0,71.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,34.0,23.2,10.0,1.0,1.0,30.0,15.0,1.0,0.0,34.0,12.0,0.0,0.0,0.0,,165.0,80.0,42.0,65.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Eric García,es ESP,DF,20.0,22.7,5.0,1.0,0.0,34.0,5.0,2.0,2.0,44.0,18.0,0.0,1.0,0.0,,95.0,32.0,21.0,60.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Memphis,nl NED,FW,27.0,20.6,3.0,0.0,0.0,23.0,44.0,13.0,125.0,3.0,4.0,3.0,0.0,0.0,,52.0,10.0,15.0,40.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Sergiño Dest,us USA,"DF,FW",20.0,16.8,2.0,0.0,0.0,17.0,19.0,1.0,59.0,2.0,15.0,0.0,0.0,0.0,,93.0,7.0,13.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Ferrán Torres,es ESP,FW,21.0,15.7,1.0,0.0,0.0,9.0,20.0,16.0,7.0,6.0,5.0,0.0,0.0,0.0,,44.0,12.0,15.0,44.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Ousmane Dembélé,fr FRA,FW,24.0,15.7,3.0,0.0,0.0,11.0,17.0,4.0,144.0,8.0,16.0,0.0,0.0,0.0,,63.0,4.0,5.0,44.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Dani Alves,br BRA,DF,38.0,12.2,2.0,1.0,0.0,27.0,6.0,0.0,75.0,11.0,19.0,0.0,1.0,0.0,,98.0,9.0,8.0,52.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Pierre-Emerick Aubameyang,ga GAB,FW,32.0,12.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,2.0,2.0,0.0,0.0,0.0,,17.0,7.0,13.0,35.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Nicolás González,es ESP,MF,19.0,12.4,6.0,0.0,0.0,37.0,19.0,1.0,7.0,6.0,20.0,0.0,0.0,0.0,,66.0,5.0,13.0,27.8,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Pedri,es ESP,MF,18.0,9.8,0.0,0.0,0.0,1.0,17.0,0.0,18.0,5.0,12.0,0.0,0.0,0.0,,63.0,4.0,3.0,57.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Óscar Mingueza,es ESP,DF,22.0,9.9,2.0,0.0,0.0,12.0,4.0,1.0,32.0,9.0,11.0,0.0,0.0,0.0,,45.0,9.0,6.0,60.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Clément Lenglet,fr FRA,DF,26.0,9.2,4.0,0.0,0.0,19.0,4.0,0.0,1.0,13.0,11.0,0.0,1.0,0.0,,60.0,16.0,25.0,39.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Luuk de Jong,nl NED,FW,30.0,7.3,1.0,0.0,0.0,8.0,12.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,,23.0,33.0,18.0,64.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Abdessamad Ezzalzouli,ma MAR,FW,19.0,6.4,4.0,0.0,0.0,17.0,15.0,2.0,15.0,9.0,9.0,0.0,0.0,0.0,,29.0,3.0,7.0,30.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Philippe Coutinho,br BRA,"MF,FW",29.0,5.6,1.0,0.0,0.0,7.0,13.0,2.0,19.0,4.0,3.0,1.0,0.0,0.0,,23.0,2.0,4.0,33.3,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Sergi Roberto,es ESP,"MF,DF",29.0,4.4,1.0,0.0,0.0,1.0,4.0,1.0,9.0,4.0,1.0,0.0,0.0,0.0,,25.0,2.0,2.0,50.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
