Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_C,S_C.1,S_C.2,S_C.3,S_C.4,S_C.5,S_C.6,S_C.7,G_C,G_C.1,G_C.2,G_C.3,G_C.4,G_C.5,G_C.6,G_C.7,U_n.5
2021-2022,LaLiga,Barcelona,Ansu Fati,es ESP,FW,18.0,3.7,10.0,2.68,6.0,0.0,1.0,0.0,2.0,1.0,3.0,0.8,1.0,0.0,0.0,0.0,1.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Neto,br BRA,GK,32.0,3.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Antoine Griezmann,fr FRA,FW,30.0,2.9,5.0,1.71,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34,1.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Martin Braithwaite,dk DEN,FW,30.0,2.6,2.0,0.77,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Riqui Puig,es ESP,MF,21.0,5.4,24.0,4.44,22.0,0.0,1.0,1.0,0.0,0.0,3.0,0.56,1.0,0.0,1.0,1.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Yusuf Demir,at AUT,FW,18.0,2.1,5.0,2.34,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Alejandro Balde,es ESP,"DF,FW",17.0,2.1,3.0,1.44,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Sergio Agüero,ar ARG,FW,33.0,1.7,3.0,1.78,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Ilias Akhomach,es ESP,FW,17.0,1.4,9.0,6.53,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,LaLiga,Barcelona,Emerson,br BRA,DF,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
