Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,Playing Time_MP,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,E_x,E_x.1,E_x.2,E_x.3,P_r,P_r.1,P_r.2,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,P_e.15,P_e.16,P_e.17,U_n.4,U_n.5
2010-2011,Bundesliga,Leverkusen,Daniel Schwaab,de GER,DF,21.0,,28.0,2452.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Renato Augusto,br BRA,MF,22.0,,26.0,2208.0,24.5,6.0,3.0,9.0,6.0,0.0,0.0,5.0,0.0,,,,0.24,0.12,0.37,0.24,0.37,Matches,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Sidney Sam,de GER,"FW,MF",22.0,,26.0,2157.0,24.0,7.0,3.0,10.0,7.0,0.0,0.0,4.0,0.0,,,,0.29,0.13,0.42,0.29,0.42,Matches,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Simon Rolfes,de GER,MF,28.0,,21.0,1900.0,21.1,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,,,,0.24,0.14,0.38,0.24,0.38,Matches,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Sami Hyypiä,fi FIN,DF,36.0,,20.0,1665.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,0.05,0.0,0.05,0.05,0.05,Matches,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Gonzalo Castro,de GER,"DF,MF",23.0,,19.0,1708.0,19.0,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,,,,0.16,0.21,0.37,0.16,0.37,Matches,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Tranquillo Barnetta,ch SUI,MF,25.0,,19.0,1505.0,16.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,,,,0.12,0.12,0.24,0.12,0.24,Matches,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Eren Derdiyok,ch SUI,FW,22.0,,18.0,1956.0,21.7,6.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,,,,0.28,0.23,0.51,0.28,0.51,Matches,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Manuel Friedrich,de GER,DF,30.0,,17.0,1457.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,Bundesliga,Leverkusen,Stefan Kießling,de GER,"FW,MF",26.0,,15.0,1346.0,15.0,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,,,,0.47,0.13,0.6,0.47,0.6,Matches,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
