Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches,Playing Time_MP,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_l.4,S_t,S_t.1,S_t.2,S_u,S_u.1,S_u.2,T_e.1,T_e.2,T_e.3,T_e.4,T_e.5,T_e.6,T_e.7,T_e.8,T_e.9,T_e.10,T_e.11,U_n.4,U_n.5
2018-2019,Bundesliga,RB Leipzig,Diego Demme,de GER,MF,26.0,26.0,2055.0,79.0,67.2,22.8,24.0,85.0,16.0,2.0,3.0,3.0,1.88,40.0,18.0,22.0,0.96,-0.11,42.4,25.3,17.1,0.75,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Willi Orban,hu HUN,DF,25.0,24.0,2049.0,85.0,67.0,22.8,23.0,89.0,21.0,1.0,9.0,9.0,2.21,48.0,15.0,33.0,1.45,1.36,47.4,26.5,21.0,0.92,0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Lukas Klostermann,de GER,DF,22.0,26.0,2003.0,77.0,65.5,22.3,22.0,88.0,20.0,4.0,18.0,4.0,1.96,36.0,21.0,15.0,0.67,-0.94,39.6,28.2,11.4,0.51,-0.66,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Konrad Laimer,at AUT,"MF,DF",21.0,29.0,1874.0,65.0,61.2,20.8,20.0,84.0,9.0,9.0,22.0,4.0,2.0,32.0,15.0,17.0,0.82,-0.47,33.9,24.5,9.4,0.45,-0.75,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Dayot Upamecano,fr FRA,DF,19.0,15.0,1293.0,86.0,42.3,14.4,14.0,90.0,14.0,1.0,32.0,3.0,1.6,24.0,17.0,7.0,0.49,-0.89,27.5,17.3,10.2,0.71,-0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Emil Forsberg,se SWE,"MF,FW",26.0,20.0,1249.0,62.0,40.8,13.9,14.0,81.0,3.0,6.0,20.0,2.0,2.1,35.0,16.0,19.0,1.37,0.62,31.9,16.5,15.4,1.11,0.62,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Nordi Mukiele,fr FRA,DF,20.0,19.0,1225.0,64.0,40.0,13.6,14.0,82.0,9.0,5.0,14.0,11.0,2.21,30.0,11.0,19.0,1.4,0.66,30.0,14.7,15.3,1.13,0.64,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Stefan Ilsanker,at AUT,"DF,MF",29.0,19.0,933.0,49.0,30.5,10.4,10.0,84.0,8.0,9.0,10.0,10.0,1.89,13.0,9.0,4.0,0.39,-0.88,16.8,11.7,5.1,0.49,-0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Matheus Cunha,br BRA,"FW,MF",19.0,25.0,853.0,34.0,27.9,9.5,9.0,75.0,2.0,16.0,11.0,9.0,1.8,13.0,8.0,5.0,0.53,-0.66,18.1,11.8,6.3,0.66,-0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,Bundesliga,RB Leipzig,Tyler Adams,us USA,MF,19.0,10.0,721.0,72.0,23.6,8.0,8.0,85.0,6.0,2.0,23.0,1.0,2.1,18.0,2.0,16.0,2.0,1.3,17.3,6.9,10.4,1.3,0.73,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
