Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,T_o,T_o.1,T_o.2,T_o.3,T_o.4,T_o.5,T_o.6,T_a,T_a.1,T_a.2,T_a.3,T_a.4,C_a,C_a.1,C_a.2,C_a.3,C_a.4,C_a.5,C_a.6,C_a.7,R_e,R_e.1,U_n.5
2019-2020,EPL,Southampton,Jan Bednarek,pl POL,DF,23.0,34.0,2033.0,269.0,952.0,1049.0,40.0,15.0,2033.0,2.0,2.0,100.0,0.0,0.0,806.0,3186.0,1736.0,4.0,4.0,1.0,11.0,1.0,962.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Danny Ings,eng ENG,FW,27.0,31.2,1096.0,33.0,110.0,440.0,566.0,165.0,1094.0,97.0,48.0,49.5,49.0,50.5,579.0,3011.0,1315.0,50.0,33.0,26.0,70.0,50.0,695.0,194.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Nathan Redmond,eng ENG,"MF,FW",25.0,30.7,1442.0,30.0,178.0,636.0,677.0,110.0,1442.0,123.0,79.0,64.2,44.0,35.8,908.0,6983.0,3500.0,126.0,81.0,52.0,73.0,52.0,990.0,200.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Ryan Bertrand,eng ENG,DF,29.0,30.5,1972.0,58.0,364.0,960.0,665.0,44.0,1972.0,24.0,11.0,45.8,13.0,54.2,890.0,4825.0,2759.0,78.0,38.0,2.0,46.0,21.0,1044.0,134.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Pierre Højbjerg,dk DEN,MF,23.0,30.6,2248.0,83.0,412.0,1446.0,426.0,39.0,2248.0,52.0,40.0,76.9,12.0,23.1,1134.0,5822.0,2633.0,33.0,42.0,6.0,64.0,26.0,1340.0,55.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Alex McCarthy,eng ENG,GK,29.0,28.0,888.0,678.0,882.0,6.0,0.0,0.0,888.0,2.0,2.0,100.0,0.0,0.0,431.0,2517.0,1716.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Jack Stephens,eng ENG,DF,25.0,27.2,1592.0,196.0,720.0,832.0,52.0,20.0,1592.0,11.0,7.0,63.6,4.0,36.4,784.0,4165.0,2521.0,17.0,8.0,3.0,17.0,4.0,858.0,11.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Oriol Romeu,es ESP,MF,27.0,20.7,1291.0,66.0,268.0,869.0,165.0,4.0,1291.0,16.0,13.0,81.3,3.0,18.8,584.0,2523.0,1221.0,17.0,22.0,0.0,14.0,4.0,733.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Stuart Armstrong,sct SCO,MF,27.0,19.1,889.0,49.0,149.0,419.0,335.0,42.0,889.0,53.0,30.0,56.6,23.0,43.4,470.0,3237.0,1472.0,45.0,34.0,8.0,55.0,25.0,544.0,101.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Jannik Vestergaard,dk DEN,DF,26.0,16.6,1056.0,109.0,456.0,558.0,46.0,18.0,1056.0,5.0,3.0,60.0,2.0,40.0,484.0,2690.0,1499.0,12.0,6.0,1.0,11.0,1.0,576.0,1.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Cédric Soares,pt POR,DF,27.0,14.5,931.0,58.0,247.0,444.0,245.0,16.0,931.0,4.0,4.0,100.0,0.0,0.0,340.0,1839.0,941.0,29.0,25.0,2.0,18.0,9.0,409.0,46.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Shane Long,ie IRL,FW,32.0,15.5,597.0,15.0,42.0,256.0,301.0,67.0,597.0,13.0,6.0,46.2,7.0,53.8,270.0,1214.0,453.0,23.0,12.0,8.0,58.0,20.0,458.0,105.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Che Adams,sct SCO,FW,23.0,12.3,418.0,11.0,29.0,181.0,214.0,60.0,418.0,25.0,18.0,72.0,7.0,28.0,232.0,1282.0,464.0,20.0,16.0,10.0,40.0,21.0,298.0,87.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Moussa Djenepo,ml MLI,"MF,DF",21.0,10.3,461.0,15.0,79.0,189.0,198.0,44.0,461.0,66.0,44.0,66.7,22.0,33.3,291.0,2178.0,1227.0,39.0,20.0,13.0,40.0,21.0,306.0,72.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Angus Gunn,eng ENG,GK,23.0,10.0,277.0,221.0,276.0,1.0,0.0,0.0,277.0,0.0,0.0,,0.0,,121.0,966.0,703.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,EPL,Southampton,Yan Valery,tn TUN,DF,20.0,8.7,453.0,28.0,132.0,196.0,131.0,11.0,453.0,27.0,14.0,51.9,13.0,48.1,173.0,1169.0,539.0,20.0,11.0,8.0,14.0,19.0,172.0,31.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
