Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,G_o,G_o.1,G_o.2,G_o.3,G_o.4,E_x,E_x.1,E_x.2,E_x.3,L_a,L_a.1,L_a.2,P_a,P_a.1,P_a.2,P_a.3,G_o.5,G_o.6,G_o.7,C_r,C_r.1,C_r.2,S_w,S_w.1,S_w.2,U_n.5
2020-2021,LaLiga,Granada,Squad Total,,,27.4,38.0,65.0,6.0,2.0,4.0,1.0,61.9,0.31,-2.1,-0.05,310.0,848.0,36.6,945.0,79.0,62.5,44.2,315.0,81.6,56.2,546.0,12.0,2.2,62.0,1.63,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Granada,Opponent Total,,,27.6,38.0,47.0,3.0,1.0,7.0,0.0,44.0,0.33,-3.0,-0.08,230.0,564.0,40.8,910.0,151.0,43.2,36.9,272.0,62.9,48.2,470.0,22.0,4.7,37.0,0.97,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Athletic Club,Unai Simón,es ESP,GK,23.0,37.0,40.0,5.0,1.0,6.0,1.0,36.0,0.28,-3.0,-0.08,205.0,489.0,41.9,799.0,204.0,37.0,35.2,263.0,73.4,52.8,539.0,24.0,4.5,34.0,0.92,15.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Athletic Club,Jokin Ezkieta,es ESP,GK,23.0,1.0,2.0,0.0,0.0,0.0,0.0,1.5,0.48,-0.5,-0.55,1.0,4.0,25.0,18.0,6.0,11.1,26.2,7.0,28.6,30.4,16.0,0.0,0.0,2.0,2.0,30.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Athletic Club,Squad Total,,,26.6,38.0,42.0,5.0,1.0,6.0,1.0,37.4,0.29,-3.6,-0.09,206.0,493.0,41.8,817.0,210.0,36.5,35.0,270.0,72.2,52.2,555.0,24.0,4.3,36.0,0.95,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Athletic Club,Opponent Total,,,27.6,38.0,46.0,4.0,1.0,4.0,3.0,39.7,0.27,-3.3,-0.09,254.0,666.0,38.1,1017.0,160.0,44.3,37.9,305.0,70.5,50.8,609.0,16.0,2.6,42.0,1.11,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Osasuna,Sergio Herrera,es ESP,GK,27.0,32.9,40.0,4.0,0.0,5.0,2.0,39.5,0.28,1.5,0.05,389.0,891.0,43.7,892.0,82.0,72.5,48.0,259.0,94.2,61.1,533.0,29.0,5.4,69.0,2.1,17.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Osasuna,Juan Pérez,es ESP,GK,24.0,3.0,3.0,1.0,0.0,0.0,0.0,3.1,0.26,0.1,0.02,20.0,55.0,36.4,58.0,8.0,48.3,41.3,29.0,93.1,63.4,44.0,0.0,0.0,3.0,1.0,13.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Osasuna,Rubén,es ESP,GK,36.0,2.1,5.0,0.0,0.0,0.0,0.0,4.4,0.55,-0.6,-0.29,32.0,50.0,64.0,45.0,2.0,80.0,49.5,14.0,100.0,59.6,23.0,1.0,4.3,4.0,1.93,19.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Osasuna,Squad Total,,,27.9,38.0,48.0,5.0,0.0,5.0,2.0,47.0,0.3,1.0,0.03,441.0,996.0,44.3,995.0,92.0,71.5,47.3,302.0,94.4,61.3,600.0,30.0,5.0,76.0,2.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Osasuna,Opponent Total,,,27.4,38.0,37.0,5.0,0.0,2.0,1.0,34.6,0.25,-1.4,-0.04,193.0,643.0,30.0,981.0,149.0,45.7,37.2,314.0,62.1,45.9,544.0,13.0,2.4,41.0,1.08,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Cádiz,Jeremías Ledesma,ar ARG,GK,27.0,32.0,45.0,8.0,2.0,3.0,1.0,44.7,0.29,0.7,0.02,342.0,834.0,41.0,708.0,60.0,78.1,50.4,297.0,94.6,65.1,512.0,31.0,6.1,21.0,0.66,11.5,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Cádiz,David Gil,es ESP,GK,26.0,4.0,10.0,1.0,0.0,1.0,0.0,6.1,0.3,-3.9,-0.96,32.0,104.0,30.8,85.0,9.0,80.0,52.2,37.0,97.3,64.4,62.0,2.0,3.2,1.0,0.25,9.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Cádiz,Alberto Cifuentes,es ESP,GK,41.0,2.0,3.0,0.0,0.0,0.0,0.0,2.9,0.48,-0.1,-0.05,22.0,60.0,36.7,53.0,3.0,84.9,54.1,15.0,100.0,62.9,32.0,0.0,0.0,4.0,2.0,27.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Cádiz,Squad Total,,,28.8,38.0,58.0,9.0,2.0,4.0,1.0,53.8,0.3,-3.2,-0.09,396.0,998.0,39.7,846.0,72.0,78.7,50.7,349.0,95.1,65.0,606.0,33.0,5.4,26.0,0.68,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Cádiz,Opponent Total,,,27.5,38.0,36.0,4.0,0.0,5.0,3.0,35.2,0.32,2.2,0.06,146.0,351.0,41.6,791.0,166.0,30.5,31.3,231.0,47.6,40.8,549.0,26.0,4.7,49.0,1.29,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Valencia,Jaume Doménech,es ESP,GK,29.0,28.0,42.0,4.0,2.0,5.0,2.0,36.9,0.25,-3.1,-0.11,224.0,477.0,47.0,646.0,103.0,47.1,36.6,243.0,71.2,49.7,485.0,8.0,1.6,20.0,0.71,13.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Valencia,Jasper Cillessen,nl NED,GK,31.0,10.0,11.0,1.0,1.0,0.0,0.0,11.3,0.21,0.3,0.03,67.0,187.0,35.8,225.0,42.0,55.1,41.4,95.0,66.3,52.1,170.0,3.0,1.8,11.0,1.1,19.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Valencia,Squad Total,,,25.2,38.0,53.0,5.0,3.0,5.0,2.0,48.2,0.24,-2.8,-0.07,291.0,664.0,43.8,871.0,145.0,49.1,37.9,338.0,69.8,50.4,655.0,11.0,1.7,31.0,0.82,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,LaLiga,Valencia,Opponent Total,,,27.6,38.0,50.0,8.0,1.0,6.0,2.0,45.4,0.27,-2.6,-0.07,222.0,584.0,38.0,834.0,135.0,48.2,38.9,261.0,69.7,49.9,462.0,19.0,4.1,38.0,1.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
