Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,P_l,P_l.1,P_l.2,P_l.3,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,P_e.13,P_e.14,U_n.4
2022-2023,Bundesliga,RB Leipzig,Péter Gulácsi,hu HUN,GK,32.0,6.0,6.0,540.0,6.0,10.0,1.67,26.0,17.0,65.4,2.0,2.0,2.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,RB Leipzig,Ørjan Nyland,no NOR,GK,31.0,2.0,2.0,180.0,2.0,2.0,1.0,5.0,4.0,60.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,RB Leipzig,Squad Total,,,26.3,34.0,34.0,3060.0,34.0,41.0,1.21,106.0,66.0,67.9,20.0,6.0,8.0,10.0,29.4,8.0,7.0,1.0,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,RB Leipzig,Opponent Total,,,26.6,34.0,34.0,3060.0,34.0,64.0,1.88,188.0,124.0,69.1,8.0,6.0,20.0,6.0,17.6,7.0,6.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Union Berlin,Frederik Rønnow,dk DEN,GK,29.0,29.0,29.0,2610.0,29.0,27.0,0.93,119.0,92.0,81.5,16.0,7.0,6.0,11.0,37.9,5.0,5.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Union Berlin,Lennart Grill,de GER,GK,23.0,5.0,5.0,450.0,5.0,11.0,2.2,25.0,14.0,64.0,2.0,1.0,2.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Union Berlin,Squad Total,,,27.9,34.0,34.0,3060.0,34.0,38.0,1.12,144.0,106.0,78.5,18.0,8.0,8.0,13.0,38.2,7.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Union Berlin,Opponent Total,,,26.3,34.0,34.0,3060.0,34.0,51.0,1.5,118.0,67.0,59.3,8.0,8.0,18.0,8.0,23.5,7.0,3.0,2.0,2.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Freiburg,Mark Flekken,nl NED,GK,29.0,34.0,34.0,3060.0,34.0,44.0,1.29,150.0,106.0,74.0,17.0,8.0,9.0,13.0,38.2,6.0,5.0,0.0,1.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Freiburg,Squad Total,,,27.4,34.0,34.0,3060.0,34.0,44.0,1.29,150.0,106.0,74.0,17.0,8.0,9.0,13.0,38.2,6.0,5.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Freiburg,Opponent Total,,,26.6,34.0,34.0,3060.0,34.0,51.0,1.5,175.0,123.0,74.9,9.0,8.0,17.0,7.0,20.6,8.0,7.0,1.0,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Leverkusen,Lukáš Hrádecký,fi FIN,GK,32.0,33.0,33.0,2969.0,33.0,47.0,1.42,142.0,97.0,71.8,14.0,8.0,11.0,9.0,27.3,7.0,7.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Leverkusen,Andrey Lunyov,ru RUS,GK,30.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Leverkusen,Squad Total,,,24.7,34.0,34.0,3059.0,34.0,49.0,1.44,146.0,99.0,71.2,14.0,8.0,12.0,9.0,26.5,7.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Leverkusen,Opponent Total,,,26.5,34.0,34.0,3060.0,34.0,57.0,1.68,166.0,108.0,68.7,12.0,8.0,14.0,9.0,26.5,7.0,5.0,1.0,1.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Eint Frankfurt,Kevin Trapp,de GER,GK,32.0,33.0,33.0,2970.0,33.0,51.0,1.55,130.0,80.0,62.3,13.0,10.0,10.0,6.0,18.2,2.0,2.0,0.0,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Eint Frankfurt,Diant Ramaj,de GER,GK,20.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Eint Frankfurt,Squad Total,,,26.4,34.0,34.0,3060.0,34.0,52.0,1.53,135.0,84.0,63.0,13.0,11.0,10.0,6.0,17.6,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Eint Frankfurt,Opponent Total,,,26.4,34.0,34.0,3060.0,34.0,58.0,1.71,138.0,82.0,62.3,10.0,11.0,13.0,5.0,14.7,6.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Wolfsburg,Koen Casteels,be BEL,GK,30.0,34.0,34.0,3060.0,34.0,48.0,1.41,147.0,101.0,70.1,13.0,10.0,11.0,12.0,35.3,7.0,4.0,1.0,2.0,20.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Wolfsburg,Squad Total,,,24.8,34.0,34.0,3060.0,34.0,48.0,1.41,147.0,101.0,70.1,13.0,10.0,11.0,12.0,35.3,7.0,4.0,1.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Wolfsburg,Opponent Total,,,26.5,34.0,34.0,3060.0,34.0,57.0,1.68,142.0,87.0,62.7,11.0,10.0,13.0,10.0,29.4,7.0,4.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Mainz 05,Robin Zentner,de GER,GK,27.0,26.0,26.0,2340.0,26.0,39.0,1.5,109.0,69.0,67.0,9.0,8.0,9.0,7.0,26.9,5.0,3.0,1.0,1.0,25.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Mainz 05,Finn Dahmen,de GER,GK,24.0,8.0,8.0,720.0,8.0,16.0,2.0,44.0,26.0,65.9,3.0,2.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,66.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Mainz 05,Squad Total,,,27.0,34.0,34.0,3060.0,34.0,55.0,1.62,153.0,95.0,66.7,12.0,10.0,12.0,7.0,20.6,8.0,4.0,3.0,1.0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,Bundesliga,Mainz 05,Opponent Total,,,26.6,34.0,34.0,3060.0,34.0,54.0,1.59,158.0,102.0,68.4,12.0,10.0,12.0,6.0,17.6,6.0,4.0,2.0,0.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
